page,section_order,section_label,image
blog_details.html,1,header.site_header.header_layout_1,assets/images/site_logo/site_logo_white.svg
blog_details.html,1,header.site_header.header_layout_1,assets/images/site_logo/site_logo_black.svg
blog_details.html,1,header.site_header.header_layout_1,assets/images/icons/icon_calling.svg
blog_details.html,2,section.page_header.text-center.bg-dark.section_decoration,assets/images/backgrounds/page_header_bg_1.webp
blog_details.html,2,section.page_header.text-center.bg-dark.section_decoration,assets/images/shapes/shape_nate.svg
blog_details.html,2,section.page_header.text-center.bg-dark.section_decoration,assets/images/shapes/shape_dollar_1.webp
blog_details.html,2,section.page_header.text-center.bg-dark.section_decoration,assets/images/shapes/shape_dollar_2.webp
blog_details.html,2,section.page_header.text-center.bg-dark.section_decoration,assets/images/shapes/shape_dollar_3.webp
blog_details.html,2,section.page_header.text-center.bg-dark.section_decoration,assets/images/shapes/shape_dollar_4.webp
blog_details.html,2,section.page_header.text-center.bg-dark.section_decoration,assets/images/shapes/breadcrumb_shape_pattern_1.svg
blog_details.html,2,section.page_header.text-center.bg-dark.section_decoration,assets/images/shapes/breadcrumb_shape_pattern_2.svg
blog_details.html,3,section.blog_details_section.section_space.bg-light,assets/images/blogs/blog_details_image_1.webp
blog_details.html,3,section.blog_details_section.section_space.bg-light,assets/images/icons/icon_tag.svg
blog_details.html,3,section.blog_details_section.section_space.bg-light,assets/images/icons/icon_calendar.svg
blog_details.html,3,section.blog_details_section.section_space.bg-light,assets/images/icons/icon_user.svg
blog_details.html,3,section.blog_details_section.section_space.bg-light,assets/images/icons/icon_comment.svg
blog_details.html,3,section.blog_details_section.section_space.bg-light,assets/images/icons/icon_eye.svg
blog_details.html,3,section.blog_details_section.section_space.bg-light,assets/images/icons/icon_link.svg
blog_details.html,3,section.blog_details_section.section_space.bg-light,assets/images/icons/icon_bookmark.svg
blog_details.html,3,section.blog_details_section.section_space.bg-light,assets/images/blogs/blog_image_10.webp
blog_details.html,3,section.blog_details_section.section_space.bg-light,assets/images/blogs/blog_image_11.webp
blog_details.html,3,section.blog_details_section.section_space.bg-light,assets/images/blogs/blog_image_12.webp
blog_details.html,3,section.blog_details_section.section_space.bg-light,assets/images/avatar/avatar_image_7.webp
blog_details.html,3,section.blog_details_section.section_space.bg-light,assets/images/avatar/avatar_image_8.webp
blog_details.html,3,section.blog_details_section.section_space.bg-light,assets/images/avatar/avatar_image_9.webp
blog_details.html,3,section.blog_details_section.section_space.bg-light,assets/images/avatar/avatar_image_10.webp
blog_details.html,3,section.blog_details_section.section_space.bg-light,assets/images/icons/icon_search_2.svg
blog_details.html,3,section.blog_details_section.section_space.bg-light,assets/images/blogs/recent_blog_post_image_1.webp
blog_details.html,3,section.blog_details_section.section_space.bg-light,assets/images/blogs/recent_blog_post_image_2.webp
blog_details.html,3,section.blog_details_section.section_space.bg-light,assets/images/blogs/recent_blog_post_image_3.webp
blog_details.html,4,footer.site_footer.footer_layout_1.bg-dark.section_decoration,assets/images/icons/icon_email.svg
blog_details.html,4,footer.site_footer.footer_layout_1.bg-dark.section_decoration,assets/images/site_logo/site_logo_white.svg
blog_details.html,4,footer.site_footer.footer_layout_1.bg-dark.section_decoration,assets/images/icons/icon_calling_2.svg
blog_details.html,4,footer.site_footer.footer_layout_1.bg-dark.section_decoration,assets/images/icons/icon_email_2.svg
blog_details.html,4,footer.site_footer.footer_layout_1.bg-dark.section_decoration,assets/images/app_store.webp
blog_details.html,4,footer.site_footer.footer_layout_1.bg-dark.section_decoration,assets/images/google_play.webp
blog_details.html,4,footer.site_footer.footer_layout_1.bg-dark.section_decoration,assets/images/shapes/shape_finto.svg
blog_details.html,4,footer.site_footer.footer_layout_1.bg-dark.section_decoration,assets/images/shapes/shape_nate_2.svg
blog_details.html,4,footer.site_footer.footer_layout_1.bg-dark.section_decoration,assets/images/shapes/shape_dollar_5.webp
blog_details.html,4,footer.site_footer.footer_layout_1.bg-dark.section_decoration,assets/images/shapes/shape_dollar_3.webp
blog.html,1,header.site_header.header_layout_1,assets/images/site_logo/site_logo_white.svg
blog.html,1,header.site_header.header_layout_1,assets/images/site_logo/site_logo_black.svg
blog.html,1,header.site_header.header_layout_1,assets/images/icons/icon_calling.svg
blog.html,2,section.page_header.text-center.bg-dark.section_decoration,assets/images/backgrounds/page_header_bg_1.webp
blog.html,2,section.page_header.text-center.bg-dark.section_decoration,assets/images/shapes/shape_nate.svg
blog.html,2,section.page_header.text-center.bg-dark.section_decoration,assets/images/shapes/shape_dollar_1.webp
blog.html,2,section.page_header.text-center.bg-dark.section_decoration,assets/images/shapes/shape_dollar_2.webp
blog.html,2,section.page_header.text-center.bg-dark.section_decoration,assets/images/shapes/shape_dollar_3.webp
